Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Kevin Durant\duranke01,PF,33,BRK,34,34,1271,368,711,.518,63,174,.362,305,537,.568,.562,215,241,.892,20,242,262,196,25,33,105,65,1014
2,Trae Young\youngtr01,PG,23,ATL,35,35,1213,337,740,.455,95,257,.370,242,483,.501,.520,212,236,.898,27,114,141,335,33,4,144,58,981
3,Giannis Antetokounmpo\antetgi01,PF,27,MIL,34,34,1105,339,627,.541,38,134,.284,301,493,.611,.571,250,357,.700,64,325,389,204,36,49,114,108,966
4,Stephen Curry\curryst01,PG,33,GSW,36,36,1252,312,740,.422,184,475,.387,128,265,.483,.546,158,172,.919,23,169,192,217,51,19,124,75,966
5,Donovan Mitchell\mitchdo01,SG,25,UTA,37,37,1235,349,768,.454,121,349,.347,228,419,.544,.533,140,159,.881,32,108,140,191,60,8,111,93,959
6,Jayson Tatum\tatumja01,SF,23,BOS,37,37,1359,326,784,.416,102,312,.327,224,472,.475,.481,189,225,.840,42,272,314,138,37,29,106,92,943
7,Zach LaVine\lavinza01,SF,26,CHI,35,35,1226,332,675,.492,108,263,.411,224,412,.544,.572,144,166,.867,11,159,170,145,21,12,101,58,916
8,DeMar DeRozan\derozde01,PF,32,CHI,34,34,1193,323,658,.491,25,71,.352,298,587,.508,.510,225,264,.852,25,145,170,160,29,12,72,80,896
9,Nikola Jokić\jokicni01,C,26,DEN,33,33,1079,333,594,.561,50,141,.355,283,453,.625,.603,137,178,.770,90,378,468,230,45,27,119,81,853
10,LeBron James\jamesle01,SF,37,LAL,29,29,1067,313,593,.528,84,226,.372,229,367,.624,.599,128,163,.785,33,183,216,192,50,33,96,68,838
11,Bradley Beal\bealbr01,SG,28,WAS,34,34,1224,309,679,.455,56,188,.298,253,491,.515,.496,142,169,.840,33,126,159,217,30,12,114,83,816
12,Karl-Anthony Towns\townska01,C,26,MIN,33,33,1131,287,558,.514,77,181,.425,210,377,.557,.583,159,193,.824,97,210,307,122,34,39,117,123,810
13,De'Aaron Fox\foxde01,PG,24,SAC,39,39,1333,300,667,.450,36,146,.247,264,521,.507,.477,171,228,.750,19,124,143,198,49,17,108,112,807
14,Russell Westbrook\westbru01,PG,33,LAL,41,41,1453,295,665,.444,42,141,.298,253,524,.483,.475,145,222,.653,56,276,332,336,46,12,184,128,777
15,Domantas Sabonis\sabondo01,C,25,IND,40,39,1395,283,490,.578,31,96,.323,252,394,.640,.609,167,224,.746,130,351,481,185,41,16,124,122,764
16,James Harden\hardeja01,PG,32,BRK,34,34,1253,222,532,.417,80,242,.331,142,290,.490,.492,239,275,.869,32,243,275,331,45,23,164,85,763
17,Miles Bridges\bridgmi02,PF,23,CHO,39,39,1400,287,603,.476,73,230,.317,214,373,.574,.536,114,151,.755,52,232,284,142,45,32,69,98,761
18,Anthony Edwards\edwaran01,SG,20,MIN,34,34,1204,278,630,.441,108,295,.366,170,335,.507,.527,92,117,.786,37,150,187,125,54,25,109,81,756
19,Devin Booker\bookede01,SG,25,PHO,32,32,1048,271,616,.440,84,205,.410,187,411,.455,.508,129,147,.878,27,146,173,143,31,10,85,78,755
20,Joel Embiid\embiijo01,C,27,PHI,28,28,923,240,502,.478,35,91,.385,205,411,.499,.513,240,295,.814,54,244,298,122,32,40,79,70,755
21,Fred VanVleet\vanvlfr01,PG,27,TOR,34,34,1276,260,588,.442,130,318,.409,130,270,.481,.553,99,111,.892,28,142,170,227,56,19,91,80,749
22,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,34,34,1188,252,617,.408,57,206,.277,195,411,.474,.455,183,222,.824,21,137,158,175,33,26,81,78,744
23,Julius Randle\randlju01,PF,27,NYK,39,39,1384,269,647,.416,68,218,.312,201,429,.469,.468,136,178,.764,69,328,397,189,30,23,135,108,742
24,Bojan Bogdanović\bogdabo02,PF,32,UTA,40,40,1219,247,511,.483,105,256,.410,142,255,.557,.586,127,147,.864,31,136,167,64,19,1,69,66,726
25,Desmond Bane\banede01,SF,23,MEM,41,41,1224,277,585,.474,122,285,.428,155,300,.517,.578,48,54,.889,20,164,184,98,44,20,60,103,724
26,Ja Morant\moranja01,PG,22,MEM,29,29,934,266,543,.490,46,120,.383,220,423,.520,.532,139,181,.768,38,128,166,193,40,12,92,37,717
27,Tyler Herro\herroty01,SG,22,MIA,34,10,1116,262,613,.427,92,237,.388,170,376,.452,.502,86,99,.869,23,145,168,133,20,5,98,49,702
28,Brandon Ingram\ingrabr01,SF,24,NOP,31,31,1072,255,576,.443,48,146,.329,207,430,.481,.484,141,172,.820,25,166,191,153,18,10,84,62,699
29,Damian Lillard\lillada01,PG,31,POR,29,29,1056,222,552,.402,92,284,.324,130,268,.485,.486,159,181,.878,13,107,120,212,17,11,83,37,695
30,Jonas Valančiūnas\valanjo01,C,29,NOP,37,37,1172,264,506,.522,38,89,.427,226,417,.542,.559,123,149,.826,130,317,447,88,21,35,89,115,689
31,LaMelo Ball\ballla01,PG,20,CHO,35,35,1114,247,583,.424,97,256,.379,150,327,.459,.507,89,102,.873,57,199,256,267,58,15,107,107,680
32,Darius Garland\garlada01,PG,22,CLE,35,35,1202,255,544,.469,92,242,.380,163,302,.540,.553,76,84,.905,17,89,106,257,45,3,128,58,678
33,Gordon Hayward\haywago01,SF,31,CHO,40,40,1328,243,527,.461,70,185,.378,173,342,.506,.528,122,142,.859,33,160,193,147,35,21,69,68,678
34,Jaren Jackson Jr.\jacksja02,PF,22,MEM,41,41,1128,226,552,.409,74,236,.314,152,316,.481,.476,145,173,.838,54,172,226,47,42,82,69,140,671
35,Christian Wood\woodch01,C,26,HOU,39,38,1200,246,516,.477,62,182,.341,184,334,.551,.537,112,183,.612,71,319,390,83,26,35,67,91,666
36,Kelly Oubre Jr.\oubreke01,SF,26,CHO,40,10,1128,243,530,.458,116,311,.373,127,219,.580,.568,62,92,.674,39,118,157,49,44,14,43,98,664
37,Buddy Hield\hieldbu01,SG,29,SAC,43,6,1256,221,566,.390,154,405,.380,67,161,.416,.527,67,77,.870,28,137,165,88,39,14,67,87,663
38,Andrew Wiggins\wiggian01,SF,26,GSW,35,35,1104,244,502,.486,77,184,.418,167,318,.525,.563,93,132,.705,41,113,154,65,34,21,56,61,658
39,Jaylen Brown\brownja02,SF,25,BOS,27,27,939,238,519,.459,75,204,.368,163,315,.517,.531,102,133,.767,24,155,179,81,31,14,83,72,653
40,Dejounte Murray\murrade01,PG,25,SAS,35,35,1200,270,612,.441,48,145,.331,222,467,.475,.480,57,79,.722,41,245,286,310,72,16,88,70,645
41,Franz Wagner\wagnefr01,SF,20,ORL,41,41,1317,241,533,.452,53,146,.363,188,387,.486,.502,108,128,.844,49,142,191,106,41,20,64,91,643
42,Paul George\georgpa01,SF,31,LAC,26,26,924,234,556,.421,70,217,.323,164,339,.484,.484,103,117,.880,11,174,185,142,53,10,109,65,641
43,Norman Powell\powelno01,SF,28,POR,34,34,1120,211,464,.455,75,188,.399,136,276,.493,.536,137,167,.820,14,84,98,73,34,15,52,77,634
44,Anthony Davis\davisan02,C,28,LAL,27,27,955,251,482,.521,10,56,.179,241,426,.566,.531,117,161,.727,74,193,267,77,32,55,60,63,629
45,Jalen Brunson\brunsja01,PG,25,DAL,39,21,1199,250,501,.499,41,122,.336,209,379,.551,.540,84,109,.771,23,120,143,218,33,2,65,72,625
46,Luka Dončić\doncilu01,PG,22,DAL,25,25,870,228,520,.438,64,201,.318,164,319,.514,.500,101,140,.721,17,189,206,225,29,11,116,61,621
47,Reggie Jackson\jacksre01,SG,31,LAC,37,37,1176,233,602,.387,96,286,.336,137,316,.434,.467,58,69,.841,19,107,126,144,27,5,81,70,620
48,Harrison Barnes\barneha02,PF,29,SAC,38,38,1264,189,423,.447,79,187,.422,110,236,.466,.540,155,188,.824,45,187,232,88,28,8,65,47,612
49,Jrue Holiday\holidjr01,PG,31,MIL,33,32,1094,245,491,.499,60,157,.382,185,334,.554,.560,56,79,.709,30,123,153,221,53,20,91,60,606
50,Jordan Clarkson\clarkjo01,SG,29,UTA,40,0,1030,222,556,.399,103,324,.318,119,232,.513,.492,58,73,.795,29,109,138,90,29,9,63,71,605
51,John Collins\collijo01,PF,24,ATL,34,34,1109,223,412,.541,44,103,.427,179,309,.579,.595,104,131,.794,64,205,269,67,23,39,38,102,594
52,Saddiq Bey\beysa01,SF,22,DET,39,39,1315,205,538,.381,91,273,.333,114,265,.430,.466,92,110,.836,56,190,246,96,37,7,58,67,593
53,Khris Middleton\middlkh01,SF,30,MIL,31,31,975,199,461,.432,72,191,.377,127,270,.470,.510,122,138,.884,22,149,171,163,34,6,100,71,592
54,Kyle Kuzma\kuzmaky01,PF,26,WAS,38,38,1263,218,492,.443,71,219,.324,147,273,.538,.515,73,106,.689,38,293,331,107,25,25,78,79,580
55,Terry Rozier\roziete01,SG,27,CHO,32,32,1023,213,487,.437,94,243,.387,119,244,.488,.534,60,74,.811,22,103,125,110,38,14,38,44,580
56,Jarrett Allen\allenja01,C,23,CLE,34,34,1110,235,336,.699,1,8,.125,234,328,.713,.701,103,146,.705,114,256,370,62,31,50,62,62,574
57,Rudy Gobert\goberru01,C,29,UTA,37,37,1187,202,286,.706,0,1,.000,202,285,.709,.706,170,249,.683,130,427,557,39,29,84,67,100,574
58,Jordan Poole\poolejo01,SG,22,GSW,33,29,984,200,448,.446,84,249,.337,116,199,.583,.540,89,100,.890,8,96,104,113,32,7,80,94,573
59,Seth Curry\curryse01,SG,31,PHI,35,35,1217,216,420,.514,78,190,.411,138,230,.600,.607,62,71,.873,15,101,116,136,27,5,64,80,572
60,Luguentz Dort\dortlu01,SF,22,OKC,35,35,1132,194,489,.397,83,268,.310,111,221,.502,.482,98,117,.838,23,120,143,59,32,14,56,101,569
61,Tyrese Haliburton\halibty01,SG,21,SAC,41,41,1393,214,457,.468,85,194,.438,129,263,.490,.561,55,68,.809,31,127,158,282,69,30,90,57,568
62,D'Angelo Russell\russeda01,PG,25,MIN,30,30,987,196,492,.398,88,255,.345,108,237,.456,.488,80,99,.808,12,103,115,207,28,16,78,61,560
63,Tobias Harris\harrito02,PF,29,PHI,30,30,1040,209,459,.455,33,112,.295,176,347,.507,.491,101,118,.856,34,192,226,117,16,19,50,59,552
64,RJ Barrett\barrerj01,SF,21,NYK,34,34,1074,197,480,.410,64,184,.348,133,296,.449,.477,92,133,.692,25,160,185,81,17,11,61,71,550
65,Chris Paul\paulch01,PG,36,PHO,39,39,1257,204,432,.472,38,116,.328,166,316,.525,.516,99,119,.832,14,157,171,390,73,10,90,83,545
66,Carmelo Anthony\anthoca01,PF,37,LAL,41,3,1108,184,431,.427,96,247,.389,88,184,.478,.538,77,96,.802,34,136,170,41,31,32,33,93,541
67,Dennis Schröder\schrode01,SG,28,BOS,34,19,1073,196,454,.432,47,144,.326,149,310,.481,.483,101,118,.856,19,96,115,155,27,3,78,84,540
68,Gary Trent Jr.\trentga02,SG,23,TOR,33,32,1122,201,477,.421,89,242,.368,112,235,.477,.515,49,58,.845,13,81,94,69,63,12,31,74,540
69,Tyrese Maxey\maxeyty01,PG,21,PHI,32,31,1105,204,431,.473,41,108,.380,163,323,.505,.521,88,101,.871,13,98,111,143,22,18,40,71,537
70,Cole Anthony\anthoco01,PG,21,ORL,27,27,919,183,451,.406,72,207,.348,111,244,.455,.486,98,114,.860,14,150,164,155,24,6,73,70,536
71,Kristaps Porziņģis\porzikr01,PF,26,DAL,26,26,791,187,415,.451,40,142,.282,147,273,.538,.499,121,137,.883,56,151,207,61,20,44,38,61,535
72,Derrick White\whitede01,SG,27,SAS,37,37,1130,186,440,.423,57,194,.294,129,246,.524,.488,106,122,.869,19,111,130,202,44,34,61,83,535
73,Jimmy Butler\butleji01,SF,32,MIA,23,23,777,180,360,.500,11,44,.250,169,316,.535,.515,162,186,.871,43,92,135,124,45,9,45,31,533
74,Evan Fournier\fournev01,SG,29,NYK,39,39,1124,192,464,.414,105,272,.386,87,192,.453,.527,43,58,.741,18,92,110,69,36,9,52,76,532
75,Keldon Johnson\johnske04,SF,22,SAS,36,36,1111,200,442,.452,56,127,.441,144,315,.457,.516,72,105,.686,39,195,234,61,30,4,50,68,528
76,Bobby Portis\portibo01,C,26,MIL,34,29,965,201,418,.481,65,152,.428,136,266,.511,.559,56,71,.789,97,216,313,46,26,28,56,93,523
77,Devonte' Graham\grahade01,PG,26,NOP,37,37,1159,172,462,.372,113,314,.360,59,148,.399,.495,62,76,.816,15,76,91,167,38,7,59,56,519
78,Myles Turner\turnemy01,C,25,IND,40,40,1183,190,370,.514,61,175,.349,129,195,.662,.596,76,101,.752,60,226,286,43,25,115,54,113,517
79,Will Barton\bartowi01,SG,31,DEN,34,34,1116,196,464,.422,79,219,.361,117,245,.478,.508,42,52,.808,22,146,168,144,30,15,64,49,513
80,Patty Mills\millspa02,PG,33,BRK,39,23,1210,180,421,.428,122,296,.412,58,125,.464,.572,26,29,.897,10,70,80,103,25,11,43,55,508
81,Mike Conley\conlemi01,PG,34,UTA,36,36,1025,179,387,.463,87,205,.424,92,182,.505,.575,58,71,.817,21,88,109,196,40,10,57,62,503
82,Eric Gordon\gordoer01,SG,33,HOU,35,24,1019,177,362,.489,79,181,.436,98,181,.541,.598,70,95,.737,7,52,59,118,21,16,79,36,503
83,Jusuf Nurkić\nurkiju01,C,27,POR,37,37,980,191,353,.541,8,35,.229,183,318,.575,.552,111,155,.716,90,289,379,98,42,19,82,121,501
84,Caris LeVert\leverca01,SG,27,IND,28,28,850,190,441,.431,44,142,.310,146,299,.488,.481,74,93,.796,18,74,92,112,29,15,49,59,498
85,Jae'Sean Tate\tateja01,SF,26,HOU,40,39,1090,194,395,.491,32,107,.299,162,288,.563,.532,76,109,.697,69,160,229,121,34,24,72,144,496
86,Pascal Siakam\siakapa01,PF,27,TOR,24,24,853,187,392,.477,28,83,.337,159,309,.515,.513,93,126,.738,50,151,201,108,22,19,59,78,495
87,Anfernee Simons\simonan01,SG,22,POR,35,8,911,180,406,.443,85,217,.392,95,189,.503,.548,50,53,.943,19,74,93,103,14,5,51,71,495
88,Malik Beasley\beaslma01,SG,25,MIN,40,9,1085,178,482,.369,118,350,.337,60,132,.455,.492,20,27,.741,14,113,127,67,25,5,33,48,494
89,Malcolm Brogdon\brogdma01,PG,29,IND,26,26,891,174,390,.446,46,148,.311,128,242,.529,.505,100,117,.855,24,115,139,158,23,11,58,54,494
90,Tim Hardaway Jr.\hardati02,SG,29,DAL,34,20,1042,175,445,.393,84,252,.333,91,193,.472,.488,60,81,.741,13,122,135,82,34,6,24,59,494
91,Kyle Lowry\lowryky01,PG,35,MIA,36,36,1235,166,393,.422,75,231,.325,91,162,.562,.518,87,103,.845,23,139,162,303,35,13,114,98,494
92,CJ McCollum\mccolcj01,SG,30,POR,24,24,848,191,451,.424,77,196,.393,114,255,.447,.509,35,50,.700,27,72,99,107,26,17,46,51,494
93,Nickeil Alexander-Walker\alexani01,SG,23,NOP,37,18,1003,185,502,.369,77,247,.312,108,255,.424,.445,45,62,.726,32,99,131,94,33,12,59,67,492
94,Evan Mobley\mobleev01,PF,20,CLE,33,33,1123,200,399,.501,15,51,.294,185,348,.532,.520,75,102,.735,55,211,266,85,28,58,58,71,490
95,Wendell Carter Jr.\cartewe01,C,22,ORL,37,37,1086,183,374,.489,46,139,.331,137,235,.583,.551,73,101,.723,80,300,380,100,26,24,60,102,485
96,Mikal Bridges\bridgmi01,SF,25,PHO,39,39,1325,193,371,.520,58,143,.406,135,228,.592,.598,39,46,.848,38,116,154,70,50,18,31,77,483
97,Aaron Gordon\gordoaa01,PF,26,DEN,35,35,1112,188,361,.521,33,105,.314,155,256,.605,.566,74,104,.712,60,131,191,76,22,22,56,66,483
98,Jerami Grant\grantje01,PF,27,DET,24,24,797,158,382,.414,42,127,.331,116,255,.455,.469,124,146,.849,23,93,116,62,27,27,51,54,482
99,Montrezl Harrell\harremo01,C,28,WAS,33,3,838,180,279,.645,3,10,.300,177,269,.658,.651,115,155,.742,72,170,242,73,17,20,38,63,478
100,Nikola Vučević\vucevni01,C,31,CHI,30,30,1001,198,465,.426,50,148,.338,148,317,.467,.480,28,42,.667,58,288,346,102,32,34,45,67,474
101,Alec Burks\burksal01,SG,30,NYK,40,16,1102,146,372,.392,77,189,.407,69,183,.377,.496,103,126,.817,21,148,169,95,52,11,37,90,472
102,Scottie Barnes\barnesc01,PF,20,TOR,32,32,1137,188,390,.482,24,74,.324,164,316,.519,.513,70,98,.714,92,163,255,112,33,29,62,91,470
103,Cade Cunningham\cunnica01,PG,20,DET,30,30,974,174,448,.388,67,209,.321,107,239,.448,.463,55,65,.846,27,144,171,163,40,19,112,85,470
104,Kevin Love\loveke01,PF,33,CLE,33,2,711,144,334,.431,85,207,.411,59,127,.465,.558,96,109,.881,38,207,245,69,11,8,40,34,469
105,Cameron Johnson\johnsca02,PF,25,PHO,39,6,1000,160,349,.458,99,226,.438,61,123,.496,.600,47,57,.825,25,141,166,50,33,10,27,63,466
106,Chris Duarte\duartch01,SG,24,IND,34,25,974,171,394,.434,62,176,.352,109,218,.500,.513,41,58,.707,20,115,135,71,34,5,57,59,445
107,Monte Morris\morrimo01,PG,26,DEN,35,34,1046,182,378,.481,60,153,.392,122,225,.542,.561,21,29,.724,11,84,95,147,25,5,42,50,445
108,Ricky Rubio\rubiori01,PG,31,CLE,34,8,970,149,411,.363,59,174,.339,90,237,.380,.434,88,103,.854,15,126,141,225,49,7,90,75,445
109,Duncan Robinson\robindu01,SG,27,MIA,37,35,1042,152,390,.390,116,323,.359,36,67,.537,.538,24,30,.800,15,111,126,55,25,8,26,99,444
110,Marcus Smart\smartma01,PG,27,BOS,38,38,1294,153,389,.393,55,181,.304,98,208,.471,.464,79,99,.798,24,127,151,201,74,11,77,94,440
111,Pat Connaughton\connapa01,SG,29,MIL,40,15,1125,156,331,.471,94,238,.395,62,93,.667,.613,26,33,.788,29,155,184,55,39,13,28,50,432
112,Malik Monk\monkma01,SG,23,LAL,36,9,936,159,337,.472,76,192,.396,83,145,.572,.585,38,45,.844,16,87,103,80,26,17,46,53,432
113,Grayson Allen\allengr01,SG,26,MIL,36,35,1023,147,355,.414,98,252,.389,49,103,.476,.552,35,41,.854,16,105,121,48,28,14,23,52,427
114,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,37,37,1100,153,363,.421,78,201,.388,75,162,.463,.529,42,48,.875,18,115,133,62,44,15,48,68,426
115,Clint Capela\capelca01,C,27,ATL,36,36,1068,190,334,.569,0,1,.000,190,333,.571,.569,45,97,.464,150,320,470,52,29,54,21,90,425
116,Lauri Markkanen\markkla01,PF,24,CLE,32,32,972,155,375,.413,59,191,.309,96,184,.522,.492,56,65,.862,36,134,170,53,22,17,27,57,425
117,Lonnie Walker IV\walkelo01,SG,23,SAS,36,5,820,155,390,.397,58,188,.309,97,202,.480,.472,55,65,.846,8,97,105,86,21,9,39,47,423
118,Terrence Ross\rosste01,SG,30,ORL,33,0,868,144,346,.416,48,157,.306,96,189,.508,.486,85,97,.876,13,79,92,72,21,7,51,45,421
119,Deandre Ayton\aytonde01,C,23,PHO,25,25,769,185,294,.629,1,7,.143,184,287,.641,.631,49,72,.681,71,204,275,40,19,21,42,54,420
120,Terance Mann\mannte01,SF,25,LAC,40,14,1184,161,332,.485,42,112,.375,119,220,.541,.548,56,75,.747,59,156,215,96,22,5,44,91,420
121,OG Anunoby\anunoog01,SF,24,TOR,22,22,788,153,349,.438,57,155,.368,96,194,.495,.520,56,67,.836,31,84,115,53,36,9,34,62,419
