state,dem_votes,rep_votes,other_votes
Arizona,1672143,1661686,53497
Florida,5297045,5668731,101680
Georgia,2473633,2461854,62229
Iowa,759061,897672,34138
Michigan,2804040,2649852,85410
Minnesota,1717077,1484065,76029
Nevada,703486,669890,32000
New Hampshire,424921,365654,15607
North Carolina,2684292,2758775,81737
Ohio,2679165,3154834,88203
Pennsylvania,3458229,3377674,79380
Texas,5259126,5890347,165583
Wisconsin,1630866,1610184,56991
Alabama,849624,1441170,32488
Alaska,153778,189951,15801
Arkansas,423932,760647,34490
California,11110250,6006429,384192
Colorado,1804352,1364607,87993
Connecticut,1080831,714717,28309
Delaware,296268,200603,7475
District of Columbia,317323,18586,8447
Hawaii,366130,196864,11475
Idaho,287021,554119,26091
Illinois,3471915,2446891,114938
Indiana,1242413,1729516,61183
Kansas,570323,771406,30574
Kentucky,772474,1326646,37648
Louisiana,856034,1255776,36252
Maine,435072,360737,23652
Maryland,1985023,976414,75593
Massachusetts,2382202,1167202,81998
Mississippi,539508,756789,17597
Missouri,1253014,1718736,54212
Montana,244786,343602,15286
Nebraska,374583,556846,20283
New Jersey,2608335,1883274,57744
New Mexico,501614,401894,20457
New York,5244886,3251997,119978
North Dakota,114902,235595,11322
Oklahoma,503890,1020280,36529
Oregon,1340383,958448,75490
Rhode Island,307486,199922,10349
South Carolina,1091541,1385103,36685
South Dakota,150471,261043,11095
Tennessee,1143711,1852475,57665
Utah,560282,865140,62867
Vermont,242820,112704,11904
Virginia,2413568,1962430,84526
Washington,2369612,1584651,133368
West Virginia,235984,545382,13286
Wyoming,73491,193559,9715
