Week,Date,#,Lecture,Homework,Lab,Readings,Discussion
1,06/27/2022,1,Introduction,,,[CIT 1.2-1.3](https://inferentialthinking.com/chapters/01/2/why-data-science.html),
,06/28/2022,,,,,,
,06/29/2022,2,Association and Causality,,,[CIT 2](https://inferentialthinking.com/chapters/02/causality-and-experiments.html),
,06/30/2022,,,,,,
,07/01/2022,3,Expressions and Data Types,,,[Notes 1-6](https://notes.dsc10.com/01-getting_started/tools.html),
,07/02/2022,,,,1. Expressions and Data Types,,
,07/03/2022,,,,,,
2,07/04/2022,,"[No lecture, July 4]",,,,
,07/05/2022,,,1. Causality and Basic Python,,,
,07/06/2022,4,Arrays and DataFrames,,,[Notes 7-8](https://notes.dsc10.com/02-data_sets/arrays.html),
,07/07/2022,,,,,,
,07/08/2022,5,"Accessing, Sorting, and Querying",,,[Notes 9-10](https://notes.dsc10.com/02-data_sets/accessing.html),
,07/09/2022,,,,2. Arrays and DataFrames,,
,07/10/2022,,,,,,
3,07/11/2022,6,More Queries and GroupBy,,,[Notes 10-11](https://notes.dsc10.com/02-data_sets/querying.html),
,07/12/2022,,,2. Arrays and DataFrames,,,
,07/13/2022,7,Data Visualization,,,[Notes 14-17](https://notes.dsc10.com/03-visualization/intro.html),
,07/14/2022,,,,,,
,07/15/2022,8,Histograms and Overlaid Plots,,,[Notes 14-17](https://notes.dsc10.com/03-visualization/intro.html),
,07/16/2022,,,,3. Data Visualization and Python Functions,,
,07/17/2022,,,,,,
4,07/18/2022,9,Functions and Apply,,,[Note 12](https://notes.dsc10.com/02-data_sets/apply.html),
,07/19/2022,,,3. Data Visualization and Python Functions,,,
,07/20/2022,10,"Grouping with Subgroups, Merge",,,"[Note 11.4](https://notes.dsc10.com/02-data_sets/groupby.html#subgroups), [13](https://notes.dsc10.com/02-data_sets/merging.html)",
,07/21/2022,,,,,,
,07/22/2022,11,"Booleans and Conditionals, Iteration",,,[CIT 9.1-9.2](https://inferentialthinking.com/chapters/09/Randomness.html),
,07/23/2022,,,,"4. DataFrames, Control Flow, and Probabilit",,
,07/24/2022,,,,,,
5,07/25/2022,12,Probability,,,[Note 18](https://notes.dsc10.com/04-probability_and_simulation/probability_and_simulation.html),
,07/26/2022,,,"4. DataFrames, Control Flow, and Probability",,,
,07/27/2022,13,Simulation,,,[Note 18](https://notes.dsc10.com/04-probability_and_simulation/probability_and_simulation.html),
,07/28/2022,,,,,,
,07/29/2022,,Midterm Exam,,,,
,07/30/2022,,,,,,
,07/31/2022,,,,,,
6,08/01/2022,14,Distributions and Sampling,,,[Notes 19-20](https://notes.dsc10.com/04-probability_and_simulation/1_populations_and_samples.html),
,08/02/2022,,,Midterm Project,,,
,08/03/2022,15,Hypothesis Testing,,,[Note 21](https://notes.dsc10.com/05-hypothesis_testing/1_hypothesis_tests.html),
,08/04/2022,,,,,,
,08/05/2022,16,"Hypothesis Testing, Continued",,,[Note 21](https://notes.dsc10.com/05-hypothesis_testing/1_hypothesis_tests.html),
,08/06/2022,,,,"5. Simulation, Sampling, and Hypothesis Testing",,
,08/07/2022,,,,,,
7,08/08/2022,17,Permutation Testing,,,[Note 22](https://notes.dsc10.com/05-hypothesis_testing/2_permutation_tests.html),
,08/09/2022,,,"5. Simulation, Sampling, and Hypothesis Testing",,,
,08/10/2022,18,"Causality, Bootstrapping",,,[Note 23](https://notes.dsc10.com/06-estimation/1_bootstrap.html),
,08/11/2022,,,,,,
,08/12/2022,19,Percentiles and Confidence Intervals,,,[Notes 24-25](https://notes.dsc10.com/06-estimation/2_confidence_intervals.html),
,08/13/2022,,,,6. Resampling and the Bootstrap,,
,08/14/2022,,,,,,
8,08/15/2022,20,"Confidence Intervals, Center and Spread",,,[CIT 14.1-14.2](https://inferentialthinking.com/chapters/14/Why_the_Mean_Matters.html),
,08/16/2022,,,"6. Permutation Testing, Percentiles, and Bootstrapping",,,
,08/17/2022,21,Normal Curve,,,[CIT 14.3-14.4](https://inferentialthinking.com/chapters/14/3/SD_and_the_Normal_Curve.html),
,08/18/2022,,,,,,
,08/19/2022,22,Central Limit Theorem,,,[CIT 14.4-14.5](https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html),
,08/20/2022,,,,"7. Center, Spread, and the Normal Distribution",,
,08/21/2022,,,,,,
9,08/22/2022,23,Experiment Design,,,[CIT 14.6](https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html),
,08/23/2022,,,"7. Confidence Intervals, Normal Distributions, and the CLT",,,
,08/24/2022,24,Prediction and Correlation,,,[CIT 15.1-15.2](https://inferentialthinking.com/chapters/15/Prediction.html),
,08/25/2022,,,,,,
,08/26/2022,25,Regression and Least Squares,,,[CIT 15.2-15.3](https://inferentialthinking.com/chapters/15/2/Regression_Line.html),
,08/27/2022,,,,8. Regression,,
,08/28/2022,,,,,,
10,08/29/2022,26,Residuals and Inference,,,,
,08/30/2022,,,Final Project,,,
,08/31/2022,27,Review,,,,
,09/01/2022,,,,,,
,09/02/2022,28,"Review, Conclusion",,,,
,09/03/2022,,Final Exam (11:30am-2:30pm),,,,
